original	mapped	chebi_label	chebi_formula
CuCl2 x 5 H2O	CHEBI:91245	copper(II) chloride pentahydrate	Cl2Cu.5H2O
CuSO4 x 6 H2O	CHEBI:91246	copper(II) sulfate hexahydrate	Cu.6H2O.O4S
L-Cysteiniumchloride	CHEBI:91247	L-cysteine hydrochloride	C3H7NO2S.HCl
Cystein-HCl x 2 H2O (5% (w/v))	CHEBI:91248		
Ammonium Molybdate	CHEBI:91249	ammonium molybdate	2H4N.MoO4
(NH4)2MoO4	CHEBI:91249	ammonium molybdate	2H4N.MoO4
Na2HAsO4 x 7 H2O	CHEBI:91257	disodium hydrogenarsenate heptahydrate	7H2O.HAsO4.2Na
DL-Sodium malate	CHEBI:91260	disodium malate	
Sodium L-malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium Malate And	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium DL-malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
sodium malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium maleate	CHEBI:91263	disodium maleate	C4H2O4.2Na
Thiamine pyrophosphate	CHEBI:9532	thiamine(1+) diphosphate	C12H19N4O7P2S
0.2% Thiamine pyrophosphate	CHEBI:9532	thiamine(1+) diphosphate	C12H19N4O7P2S
Tris(hydroxymethyl)aminomethane	CHEBI:9754	tris	C4H11NO3
Tris base	CHEBI:9754	tris	C4H11NO3
Tris [tris(hydroxymethyl)aminomethane]	CHEBI:9754	tris	C4H11NO3
TRIS	CHEBI:9754	tris	C4H11NO3
Tris [tris(hydroxymethyl)aminomethane]	CHEBI:9754	tris	C4H11NO3
Tris (hydroxymethyl aminomethane)	CHEBI:9754	tris	C4H11NO3
Tris buffer 1M	CHEBI:9754	tris	C4H11NO3
Tween 20	CHEBI:9784		
MgCl 2 x 6 H2O	KEGG:C07755		
MgCl2 x 6 H20	KEGG:C07755		
MgCl x 6 H2O	KEGG:C07755		
MgCl x 7 H2O	KEGG:C07755		
Na2Se3 x 5 H2O	PUBCHEM.COMPOUND:24934.0		
Betaine Hydrochloride	PubChem:11545		
Na2-tartrate x 2 H2O	PubChem:12598458		
TAPSO	PubChem:128929		
(NH4)6Mo7O24	PubChem:129630846		
NiCl2 x 6 H20	PubChem:129831233		
Na-glycerophosphate	PubChem:14754		
Sodium glycerophosphate	PubChem:14754		
Na-glycerol phosphate	PubChem:14754		
Na2-ß-glycerolphosphate	PubChem:14754		
Sodium β-glycerophosphate	PubChem:14754		
Malt extract	PubChem:159480023		
Na2B4O7 x 10H2O	PubChem:16211214		
Na2B4O7 x 10 H2O	PubChem:16211214		
Na2B4O7·10H2O	PubChem:16211214		
Natetrathionate	PubChem:16218438		
Fe2(SO4)3 x X H2O	PubChem:167265		
Fe2(SO4)3 x H2O	PubChem:167265		
Fetal Bovine Serum	PubChem:167312532		
Fetal bovine serum	PubChem:167312532		
Vitamin-free casamino acids	PubChem:167312541		
peptone	PubChem:167312541		
Peptone	PubChem:167312541		
Soya peptone	PubChem:167312541		
Soy peptone	PubChem:167312541		
soy peptone	PubChem:167312541		
Soja peptone	PubChem:167312541		
Calcium malate	PubChem:167659		
Glacial acetic acid	PubChem:176		
Na2SeO4 x 10 H2O	PubChem:202320		
Na-aspartate	PubChem:21806		
Na3-citrate x 5 H2O	PubChem:21868242		
Ferric citrate monohydrate	PubChem:22178220		
Na-meta silicate	PubChem:23266		
Na-meta-silicate	PubChem:23266		
Maltose monohydrate	PubChem:23615261		
NaHSeO3	PubChem:23669629		
Potassium Glutamate	PubChem:23695977		
CrK(SO4)2·12H2O	PubChem:24596		
Nitrilotriacetic acid trisodium salt monohydrate	PubChem:29194		
MnCl2 x 2 H2O	PubChem:30200		
MnCl2 x 4H2O	PubChem:30200		
MnCl2 x 4 H2O (0.1% w/v)	PubChem:30200		
MnCl2 x 4 H2O	PubChem:30200		
MnCl2 x 4 H2O (0.36 g/l)	PubChem:30200		
MnCl2·4H2O	PubChem:30200		
MnCl 2 x 4 H2O	PubChem:30200		
SrSO4	PubChem:3084026		
Sea Salt	PubChem:5234		
Mg	PubChem:5462224		
mg	PubChem:5462224		
Activated carbon	PubChem:5462310		
NaNH4HPO4 x 4 H2O	PubChem:56924540		
L-Cysteine x HCl	PubChem:5862		
L-cysteine HCl	PubChem:5862		
L-Cystein Hcl	PubChem:5862		
L-Cystein HCl	PubChem:5862		
Cysteine-HCl	PubChem:5862		
Cysteine HCl	PubChem:5862		
L-Cysteine-HCl	PubChem:5862		
Cystein-HCL	PubChem:5862		
Ferric citrate	PubChem:61300		
ferric citrate	PubChem:61300		
Na2SO3 x 5 H20	PubChem:61495		
Na2-9,10-anthraquinone-2,6-disulfonate (TCI A0308)	PubChem:70070		
Absolute ethanol	PubChem:702		
Trisodium citrate·H2O	PubChem:71474		
Potassium Aspartate	PubChem:71586907		
L-Ornithine HCl	PubChem:76654		
Sodium polygalacturonate	PubChem:86278167		
Fe(III)NH4-EDTA	PubChem:88842		
Tris-HCl buffer	PubChem:93573		
Nicotine amide	PubChem:936		
Deionized water	PubChem:962		
Li2B4O7	PubChem:9815330		
Sheep blood	UBERON:0000178		
Horse blood	UBERON:0000178		
Defibrinated Blood	UBERON:0000178		
Defibrinated Sheep Blood	UBERON:0000178		
5% defibrinated sheep blood	UBERON:0000178		
Clarified rumen fluid	UBERON:0001970		
Calf serum	UBERON:0001977		
